StateCode,CountyName,PostalCode,Locations,Building_TIV,Contents_TIV,Building_Limit,Contents_Limit
TX,Harris,77060,906,422276443.486778,62171086.8283459,177382200,52356100
TX,Harris,77061,637,240180004.614694,28536465.7150079,134485500,53973000
TX,Harris,77062,4188,2904979835.36457,337942378.087006,929709000,379006700
TX,Harris,77063,1372,879114967.606759,102304823.64648,305204300,122418600
TX,Harris,77064,2309,1202977697.03562,144791676.970842,475060100,186356200
TX,Harris,77065,1848,887545620.109554,102437148.116676,386929000,153666100
TX,Harris,77066,1883,863830795.438315,95466793.6007937,345769800,120022500
TX,Harris,77067,530,240910235.649027,22642040.9851617,127001200,33547800
TX,Harris,77068,693,547426763.770624,59018697.8157337,156070800,59948600
TX,Harris,77069,1477,1324622006.55061,142354117.938785,356361400,134672400
TX,Harris,77070,3077,1978773494.62981,228021705.772106,675794700,264211500
TX,Harris,77071,1416,676252022.429819,77829838.3999975,279785800,104755700
TX,Harris,77072,2975,941679938.763808,67491715.9748784,484483000,72717900
TX,Harris,77073,696,321790183.036329,36193726.8222235,132106100,54207200
TX,Harris,77074,2590,1196643984.24893,131898263.520299,459844400,101045100
TX,Harris,77075,1150,468840064.869516,53946131.5629419,206945000,80833100
TX,Harris,77076,586,141331747.666372,19877070.1809115,88988000,36522800
TX,Harris,77077,3671,2225766093.97881,251327083.554255,813669800,324158200
TX,Harris,77078,492,126701634.254519,16760912.9264643,73638700,30259600
TX,Harris,77079,4103,3292459772.61956,338566872.299077,1005007400,371265700
TX,Harris,77080,2389,879259273.008808,105858034.680674,456114900,168478400
TX,Harris,77081,627,294077745.664274,28905105.2414777,136838700,46280400
TX,Harris,77082,3260,1677137121.87384,143729404.146459,684310300,168672900
TX,Harris,77083,1697,604933558.173815,61017772.8698337,329155900,111336800
TX,Harris,77084,4782,2398756090.95164,267678934.874486,928714500,340874500
TX,Harris,77085,377,242637396.881757,28186427.9766084,67707200,27199200
TX,Harris,77086,472,181947946.744952,22242865.7452581,85911400,34113300
TX,Harris,77087,924,235571166.51068,30976506.1514302,150757800,55725900
TX,Harris,77088,2495,877916351.678462,100966633.679924,445288500,138269400
TX,Harris,77089,4694,2267160605.04902,269660666.031489,880138100,307758600
TX,Harris,77090,895,472096446.2177,52412922.2027069,186398700,62535200
TX,Harris,77091,1071,385835218.679242,38542306.7681498,226112500,60606600
TX,Harris,77092,2099,686008079.667624,74533689.5017557,446625400,119524900
TX,Harris,77093,1161,243048806.608376,26265308.8450371,147859100,41196300
TX,Harris,77094,1002,830948964.034245,89643880.4261219,242689000,97101400
TX,Harris,77095,4001,2732580208.76131,303787638.116988,882998500,358348300
TX,Harris,77096,5722,3266470463.31906,336110332.768975,1329324900,389787200
TX,Harris,77098,917,591280417.319251,69485389.9100744,203413400,91325300
TX,Harris,77099,2369,818315013.485825,89673719.4289154,395694800,98903600
TX,Harris,77336,699,379629547.641672,39545126.7335655,142957800,51377100
TX,Harris,77338,950,529704634.223653,67204232.2757119,184288800,81108100
TX,Harris,77339,2619,1661280612.71022,177955607.254308,577935800,210676600
TX,Harris,77345,2168,2167012412.89223,230760329.733551,520758900,203129100
TX,Harris,77346,2557,1685353897.11385,182270375.016072,571973200,226970000
TX,Harris,77373,2067,956098451.047971,107458358.039042,399605700,153409900
TX,Harris,77375,2163,1349139471.04174,148077668.516004,459032500,188584200
TX,Harris,77377,2110,1380913404.9016,148309220.596957,482180400,192007600
TX,Harris,77379,4792,3918480904.68231,432648771.642172,1090135200,432480100
