zip,estimate,house area,lot area,month value change,LAT,LNG,Locations,Total Buildings,Percent Insured
77050,151100.30800000002,1588.4634146341464,36513.43958333333,860.284,29.902887,-95.269296,140,1227,11.409942950285249
77051,126181.192,1344.7825203252032,6609.783567134267,1192.8136272545094,29.656113,-95.378696,293,6310,4.643423137876387
77054,246988.78600000002,1781.8949494949497,50433.274074074085,-1324.8709677419354,29.68025,-95.404913,311,1227,25.34637326813366
77055,619098.068,2470.444,9852.189024390244,3382.3995983935743,29.796871000000003,-95.49165,2325,7668,30.320813771517997
77056,1144477.22,3952.074148296593,10797.330526315789,2122.1220000000003,29.748202000000006,-95.468948,1589,3727,42.63482693855648
77057,544753.874,2445.110220440881,27943.70625,2823.1659999999997,29.744081,-95.487974,1735,5379,32.25506599739729
77058,262491.45,2113.0881763527054,570383.1042183621,-125.65130260521042,29.561579,-95.099626,2415,3584,67.3828125
77059,372414.436,3026.080321285141,10379.53507014028,73.306,29.613602,-95.11937,3465,6130,56.525285481239806
77060,132329.236,1470.473895582329,11400.85775862069,184.53799999999998,29.935512,-95.397624,906,4685,19.338313767342584
77061,182197.72199999998,1827.908,1192568.4122621564,1427.246,29.647023,-95.276656,637,4453,14.304962946328317
77062,269900.238,2207.4339999999997,9905.032586558045,-5.806,29.573552000000007,-95.130613,4188,8548,48.993916705662144
77063,422979.87799999997,2307.3607214428853,19175.227621483376,561.626,29.736295,-95.523292,1372,4572,30.0087489063867
77064,204763.046,2070.714,8677.127016129032,220.52200000000002,29.918045000000006,-95.535685,2309,8537,27.04697200421694
77065,209428.15,2138.4647887323945,11098.080160320642,145.062,29.926473,-95.60379,1848,8362,22.099976082276967
77066,175210.02,2036.675350701403,8471.344689378757,1224.522,29.957234000000003,-95.503258,1883,9133,20.61754078616008
77067,148931.116,1766.9498997995993,6988.7480000000005,618.3340000000001,29.952629,-95.446609,530,5681,9.329343425453265
77068,264220.524,3057.8979999999997,12043.396793587175,1188.454,30.007063,-95.488362,693,3454,20.063694267515924
77069,297913.75800000003,3058.382,11284.774,477.506,29.988455,-95.5312,1477,4892,30.192150449713818
77070,210766.574,2225.198396793587,498177.0360721443,435.06,29.979648,-95.572877,3077,8153,37.74070894149393
77071,188235.84399999998,2106.3092369477913,7773.0728476821205,1273.9180000000001,29.651728,-95.519919,1416,6710,21.102831594634875
77072,142831.072,1626.6244979919682,6497.817745803357,635.23,29.699688,-95.584817,2975,8246,36.07809847198642
77073,161677.074,1887.5387755102038,5475.917721518988,-249.082,29.999166,-95.400119,696,8260,8.426150121065374
77074,183341.908,1634.413654618474,9344.616033755274,747.798,29.687947,-95.515725,2590,6186,41.86873585515681
77075,179697.178,1791.43,8452.180161943319,970.086,29.620420000000006,-95.268939,1150,7809,14.726597515687029
77076,131339.456,1329.9314516129034,8804.658000000001,-219.912,29.860021000000003,-95.382184,586,6916,8.473105841526895
77077,349429.65,2455.9559118236475,18292.303879310344,1023.28,29.750233,-95.615383,3671,8137,45.11490721396092
77078,115481.66,1325.7274549098195,8456.12,1346.09,29.852397,-95.2541,492,4515,10.897009966777409
77079,546137.252,2764.977911646586,16374.920335429768,1999.934,29.776093,-95.603037,4103,8438,48.625266650865136
77080,290979.476,1846.092,9762.39587628866,3061.758,29.815894,-95.522885,2389,8174,29.226816735992173
77081,413425.554,2299.6907630522087,8667.199579831933,1268.1760000000002,29.712099,-95.480935,627,1715,36.559766763848394
77082,253923.89800000002,2217.714,8399.716297786721,49.181999999999995,29.724490000000007,-95.640002,3260,8726,37.359614943845976
77083,182940.794,2008.0639999999999,6896.2146892655355,2761.382,29.694395,-95.649569,1697,9679,17.532802975514
77084,218395.97600000002,2206.514,7745.068273092369,937.352,29.827486,-95.65992,4782,8296,57.642237222757956
77085,161841.156,1668.2670682730927,8614.792682926829,124.00399999999999,29.620509,-95.485333,377,4616,8.167244367417679
77086,157962.356,1678.14,10937.358299595142,391.846,29.919035,-95.491607,472,6832,6.908665105386416
77087,143767.902,1467.929718875502,7966.909819639279,1999.3339999999998,29.686519,-95.303917,924,8754,10.555174777244689
77088,147855.534,1715.2550200803214,8368.421686746988,1048.0839999999998,29.881487,-95.452619,2495,7575,32.93729372937293
77089,219500.60199999998,2167.98997995992,7749.9637096774195,-151.248,29.586959000000004,-95.225601,4694,9312,50.40807560137457
77090,187833.556,2435.226907630522,9476.512295081968,-151.502,30.00824,-95.438996,895,5214,17.165324127349443
77091,178191.562,1642.3038229376255,10742.874,2166.894,29.853067,-95.435966,1071,6743,15.883138069108703
77092,242305.68600000002,1601.5522088353414,8793.358762886597,1152.028,29.830024,-95.474409,2099,6858,30.606590842811315
77093,124947.87800000001,1276.1871227364184,13084.595573440645,1062.0,29.8634,-95.341409,1161,7399,15.691309636437357
77094,445836.88200000004,3227.911823647294,10253.178356713426,283.94599999999997,29.769285,-95.681292,1002,3183,31.479736098020734
