zip,address,lat,lng,house area,lot area,high,low,estimate,month value change,property tax
77058,"2511 BAYCREST DR, HOUSTON, TX 77058",29.550686,-95.08095,2191,8925,256115,231723,243919,-6088,219768.0
77058,"12346 RUTGERS PARK CT, HOUSTON, TX 77058",29.590932000000002,-95.094941,1998,6316,276587,250245,263416,-91,228441.0
77058,"2226 GEMINI ST, HOUSTON, TX 77058",29.569004999999997,-95.109202,1824,,206829,185366,195122,1607,165567.0
77058,"2817 LIGHTHOUSE DR, HOUSTON, TX 77058",29.551627000000003,-95.075447,2610,3241,280847,254099,267473,-6334,220915.0
77058,"18305 SANDY CV, HOUSTON, TX 77058",29.552803000000004,-95.078647,2619,3001,351464,302650,325430,-2148,326061.0
77058,"18226 NASSAU BAY DR, HOUSTON, TX 77058",29.542847,-95.099855,5300,24838,894708,562800,721539,33653,526129.0
77058,"18219 HEREFORD LN, HOUSTON, TX 77058",29.543589,-95.09281999999999,1761,8638,204699,181525,193112,2498,185000.0
77058,"18200 HERITAGE LN, HOUSTON, TX 77058",29.545367,-95.091525,1360,,131159,117418,124913,1709,110188.0
77058,"16516 SPACE CENTER BLVD, HOUSTON, TX 77058",29.570899,-95.106539,1436,,182821,155226,172473,-591,156235.0
77058,"2330 GEMINI ST, HOUSTON, TX 77058",29.570412,-95.108469,1429,,181695,155739,173043,1542,152167.0
77058,"1614 MARY MOUNT WAY, HOUSTON, TX 77058",29.562711,-95.11099,1330,4500,201757,182543,192150,-713,167006.0
77058,"1771 SAXONY LN, HOUSTON, TX 77058",29.546761,-95.093796,1720,2923,191013,160087,181917,-992,161752.0
77058,"16829 HOLLY TRAIL DR, HOUSTON, TX 77058",29.559726,-95.108841,1304,2182,166821,149509,157378,-1771,134202.0
77058,"1261 EL CAMINO VILLAGE DR, HOUSTON, TX 77058",29.549603,-95.106323,2220,2723,224205,202853,213529,1576,175092.0
77058,"4018 PARK THICKET, HOUSTON, TX 77058",29.588878,-95.09428,2103,3947,263196,235883,248298,-513,244036.0
77058,"1806 ANTIGUA LN, HOUSTON, TX 77058",29.544282,-95.089736,2245,9600,307847,275597,293188,-2132,274434.0
77058,"1811 SULLINS WAY, HOUSTON, TX 77058",29.564669,-95.109951,2079,5580,243094,217627,231518,111,200000.0
77058,"16711 FALLEN LEAF WAY, HOUSTON, TX 77058",29.562863,-95.107881,1398,,196875,178125,187500,6027,178200.0
77058,"1361 EL CAMINO VILLAGE DR, HOUSTON, TX 77058",29.550515,-95.106792,2220,2601,222348,201172,211760,1404,173456.0
77058,"1619 NEWCOMB WAY, HOUSTON, TX 77058",29.562213,-95.11064300000001,1772,6198,236308,209301,225055,-1946,216479.0
77058,"3914 PRINCETON PARK CT, HOUSTON, TX 77058",29.593321999999997,-95.09671800000001,1784,6251,242230,208272,226383,77,202764.0
77058,"18128 BAL HARBOUR DR, HOUSTON, TX 77058",29.553136,-95.076652,2932,3480,349714,316408,333061,7449,279684.0
77058,"12215 RUTGERS PARK CT, HOUSTON, TX 77058",29.591813000000002,-95.09699599999999,1861,5150,259364,232449,244683,3777,212622.0
77058,"16534 HOLLY TRAIL DR, HOUSTON, TX 77058",29.56195,-95.111851,1614,,193412,174992,184202,294,148425.0
77058,"1819 PLUMBWOOD WAY, HOUSTON, TX 77058",29.564108,-95.10879399999999,2655,4861,276277,244703,263121,-2654,246224.0
77058,"2003 PORT ROYAL DR, HOUSTON, TX 77058",29.539121999999995,-95.085389,2917,18547,365085,321140,338042,633,301429.0
77058,"18411 KINGS LYNN ST, HOUSTON, TX 77058",29.538424,-95.100139,3590,19423,545614,458928,509920,1822,547268.0
77058,"16610 PARK GREEN WAY, HOUSTON, TX 77058",29.567690999999996,-95.10654699999999,2368,4961,246212,222764,234488,1037,209124.0
77058,"1005 BAY AREA BLVD, HOUSTON, TX 77058",29.555099,-95.12022900000001,1959,8755,247058,223528,235293,-1996,201490.0
77058,"16805 HOLLY TRAIL DR, HOUSTON, TX 77058",29.560908,-95.10866700000001,1398,5815,201210,182048,191629,2342,172022.0
77058,"18802 POINT LOOKOUT DR, HOUSTON, TX 77058",29.535671,-95.09196800000001,6121,37370,1534852,983879,1311839,-15586,1383542.0
77058,"1385 EL CAMINO VILLAGE DR, HOUSTON, TX 77058",29.550508,-95.107442,2115,2487,210535,188479,200510,1327,169201.0
77058,"18311 CARRIAGE LN, HOUSTON, TX 77058",29.543376000000002,-95.095035,1905,8398,242615,203335,231062,13353,207228.0
77058,"502 BAY AREA BLVD, HOUSTON, TX 77058",29.550581,-95.125847,2520,7361,280581,251187,267220,2145,241400.0
77058,"18124 BAL HARBOUR DR, HOUSTON, TX 77058",29.55302,-95.076677,2932,3541,328780,276051,310170,10805,277066.0
77058,"2028 GEMINI ST, HOUSTON, TX 77058",29.567010999999997,-95.109915,1824,,262166,196624,226005,5907,163602.0
77058,"3918 VANDERBILT PARK DR, HOUSTON, TX 77058",29.592581,-95.096537,1684,5593,245162,219721,231285,3031,203360.0
77058,"18727 EGRET OAKS LN, HOUSTON, TX 77058",29.537415000000003,-95.097024,2230,1555,301671,264673,284595,-10839,273806.0
77058,"18318 KINGS ROW, HOUSTON, TX 77058",29.542061999999998,-95.105725,1840,21201,254620,230370,242495,7376,216727.0
77058,"18326 BARBUDA LN, HOUSTON, TX 77058",29.542015000000003,-95.095465,2012,9496,253723,229559,241641,-81,221256.0
77058,"18631 MARTINIQUE DR, HOUSTON, TX 77058",29.540846000000002,-95.089421,3050,9600,351375,317911,334643,-1815,273740.0
77058,"16827 HOLLY TRAIL DR, HOUSTON, TX 77058",29.559704999999997,-95.108855,1320,,170130,141775,157528,-1985,125353.0
77058,"2814 LIGHTHOUSE DR, HOUSTON, TX 77058",29.551352,-95.07543100000001,3570,3001,543687,491907,517797,-2812,339000.0
77058,"16708 IVY GROVE DR, HOUSTON, TX 77058",29.564286,-95.10788199999999,1436,5549,216005,190005,200005,6144,175204.0
77058,"2605 SAILBOAT DR, HOUSTON, TX 77058",29.554003,-95.079267,3138,4199,313086,283268,298177,390,286000.0
77058,"18718 MARTINIQUE DR, HOUSTON, TX 77058",29.537137,-95.08740300000001,4832,18543,856148,521899,586403,9348,254317.0
77058,"1802 BARLETON WAY, HOUSTON, TX 77058",29.564898,-95.108933,1654,4500,227320,205670,216495,5554,182941.0
77058,"2229 BROADLAWN DR, HOUSTON, TX 77058",29.567978999999998,-95.107054,2200,,260782,218109,237075,91,209119.0
77058,"18618 MARTINIQUE DR, HOUSTON, TX 77058",29.540142,-95.089844,3694,15778,494823,431268,453966,-19108,354770.0
77058,"12358 RUTGERS PARK CT, HOUSTON, TX 77058",29.590073999999998,-95.095609,1649,5001,224264,193116,207652,-1098,179500.0
77058,"18622 BARBUDA LN, HOUSTON, TX 77058",29.536396000000003,-95.092506,5765,28109,920715,795163,837014,-7258,839293.0
77058,"1423 EL CAMINO VILLAGE DR, HOUSTON, TX 77058",29.550051,-95.108032,2170,2395,208085,188267,198176,-1104,172024.0
77058,"16802 HOLLY TRAIL DR, HOUSTON, TX 77058",29.561096000000003,-95.10916800000001,1280,,184553,155231,172479,1189,128985.0
77058,"12327 GEORGETOWN PARK CT, HOUSTON, TX 77058",29.590519,-95.096249,1794,5750,238465,213719,224967,-1102,210255.0
77058,"3938 FORDHAM PARK CT, HOUSTON, TX 77058",29.594089,-95.096641,1935,9226,274325,248199,261262,-1338,236514.0
77058,"1422 DAVON LN, HOUSTON, TX 77058",29.540063,-95.092917,2165,11391,318199,287895,303047,-1665,251766.0
77058,"17285 SATURN LN, HOUSTON, TX 77058",29.558999,-95.11035799999999,1280,,175198,137656,156427,-4867,123600.0
77058,"2278 GEMINI ST, HOUSTON, TX 77058",29.569632000000002,-95.108866,1552,2983,182876,154090,169330,-1319,178749.0
77058,"912 KINGSGATE LN, HOUSTON, TX 77058",29.537734999999998,-95.100491,4278,19235,513527,441537,479932,-2142,433360.0
77058,"18138 BAL HARBOUR DR, HOUSTON, TX 77058",29.553346,-95.07659699999999,2834,2910,348112,314958,331535,7116,285441.0
77058,"18411 KINGSTOWN CT, HOUSTON, TX 77058",29.542759999999998,-95.088584,2594,9601,331872,300266,316069,1868,286101.0
77058,"12335 GEORGETOWN PARK CT, HOUSTON, TX 77058",29.590365000000002,-95.096035,2066,5750,265514,237961,250485,-2791,208289.0
77058,"12434 GOLDEN THISTLE, HOUSTON, TX 77058",29.590004999999998,-95.09371999999999,2131,2849,253424,229288,241356,-2949,229495.0
77058,"18506 VINLAND DR, HOUSTON, TX 77058",29.543865999999998,-95.087215,2650,12432,354997,321187,338092,2491,296802.0
77058,"18318 CAPE BAHAMAS LN, HOUSTON, TX 77058",29.541828999999996,-95.096434,2022,9357,259557,234837,247197,2997,223872.0
77058,"16615 HOLLINS WAY, HOUSTON, TX 77058",29.569543,-95.10546,1824,4996,206893,187189,197041,-1726,180000.0
77058,"18236 VINLAND DR, HOUSTON, TX 77058",29.546502,-95.092011,2382,3411,305175,233526,265370,-2445,190000.0
77058,"1612 SAXONY LN, HOUSTON, TX 77058",29.546882,-95.092465,1885,3624,219136,173403,190553,-2581,139151.0
77058,"17816 KINGS PARK LN, HOUSTON, TX 77058",29.54986,-95.10126,1350,,245231,136041,179001,1015,
77058,"18510 VINLAND DR, HOUSTON, TX 77058",29.543828,-95.087194,3038,11220,371200,329570,346916,-2834,342446.0
77058,"1442 DAVON LN, HOUSTON, TX 77058",29.540389,-95.092457,2741,15120,343614,310888,327251,-418,264469.0
77058,"16810 ASHMOOR WAY, HOUSTON, TX 77058",29.56332,-95.10667600000001,1648,,204571,185089,194830,1695,177723.0
77058,"18215 KINGS ROW, HOUSTON, TX 77058",29.540792,-95.104095,1632,21192,278338,221639,257720,2739,240589.0
77058,"1307 DAVON LN, HOUSTON, TX 77058",29.539562,-95.095345,3551,16544,535027,446673,490850,4687,332476.0
77058,"2618 BAYCREST DR, HOUSTON, TX 77058",29.552145,-95.080025,1809,10881,277069,237861,261386,2139,255152.0
77058,"16611 NEUMANN DR, HOUSTON, TX 77058",29.570076,-95.10510500000001,2160,4499,240410,212935,228962,-1430,206405.0
77058,"18626 PRINCE WILLIAM LN, HOUSTON, TX 77058",29.540948999999998,-95.088645,2203,9600,320180,289686,304933,-4180,285220.0
77058,"18586 MARTINIQUE DR, HOUSTON, TX 77058",29.541935,-95.089138,2455,8425,320381,289869,305125,1950,256620.0
77058,"9 KISKADEE LN, HOUSTON, TX 77058",29.562896000000002,-95.075144,2535,1364,289956,262342,276149,-4465,280000.0
77058,"16574 SPACE CENTER BLVD, HOUSTON, TX 77058",29.570606,-95.10571999999999,1436,,184220,152937,173792,6028,27050.0
77058,"18343 CAPE BAHAMAS LN, HOUSTON, TX 77058",29.541317,-95.09512,2148,8568,306482,216978,271223,10480,211699.0
77058,"16538 SPACE CENTER BLVD, HOUSTON, TX 77058",29.570816999999998,-95.106328,1429,,182521,156447,173830,810,152167.0
77058,"18615 UPPER BAY RD, HOUSTON, TX 77058",29.540264,-95.08559699999999,2691,16605,420921,338240,375822,-2621,340800.0
77058,"18 ANTILLES LN, HOUSTON, TX 77058",29.536595000000002,-95.084999,2086,2418,259968,235210,247589,5787,247136.0
77058,"2398 BAYCREST DR, HOUSTON, TX 77058",29.549708000000003,-95.083206,3541,19101,5720412,2602787,2860206,-2609,696000.0
77058,"18206 STARBOARD DR, HOUSTON, TX 77058",29.553171999999996,-95.077967,2046,2782,309158,246232,273591,-1174,278686.0
77058,"2109 BROADLAWN DR, HOUSTON, TX 77058",29.567042999999998,-95.108614,1556,2731,188698,170726,179712,-1035,160517.0
77058,"18223 KINGS ROW, HOUSTON, TX 77058",29.540903999999998,-95.104203,1470,21192,217605,185066,203369,6421,187318.0
77058,"16820 HOLLY TRAIL DR, HOUSTON, TX 77058",29.560888000000002,-95.10898399999999,1304,,181071,153995,169225,-1113,128061.0
77058,"12427 GOLDEN THISTLE, HOUSTON, TX 77058",29.589945,-95.093357,1837,3537,243761,220545,232153,-63,223412.0
