zip,address,lat,lng,house area,lot area,high,low,estimate,month value change,property tax
77098,"3202 SACKETT ST, HOUSTON, TX 77098",29.736888,-95.422887,4410,7501,1315716,860656,989260,-572,894398.0
77098,"2133 HAROLD ST, HOUSTON, TX 77098",29.740513,-95.412287,2520,2461,556798,503770,530284,827,530000.0
77098,"2405 NORTH BLVD, HOUSTON, TX 77098",29.727746999999997,-95.41520600000001,3418,5942,799960,723774,761867,-286,700000.0
77098,"1823 KIPLING ST, HOUSTON, TX 77098",29.740187,-95.405098,2450,6251,617447,508822,571710,832,476702.0
77098,"3819 WAKEFOREST ST, HOUSTON, TX 77098",29.731946999999998,-95.422073,1596,,316447,286309,301378,827,276892.0
77098,"1908 NORTH BLVD, HOUSTON, TX 77098",29.728,-95.405725,3629,10498,1353982,1107804,1230893,9545,1162000.0
77098,"2321 SUL ROSS ST, HOUSTON, TX 77098",29.737461,-95.415008,3607,6686,966217,874197,920207,-87,1015241.0
77098,"1847 NORFOLK ST, HOUSTON, TX 77098",29.732478999999998,-95.40563900000001,2215,3315,534952,484004,509478,-7655,516715.0
77098,"1806 BRANARD ST, HOUSTON, TX 77098",29.73702,-95.404787,2554,6251,572685,503751,530264,-19249,486000.0
77098,"1810 W MAIN ST, HOUSTON, TX 77098",29.736157000000002,-95.405001,1200,6250,609543,551491,580517,-2243,544000.0
77098,"2315 BARTLETT ST, HOUSTON, TX 77098",29.726971999999996,-95.41319,1896,6665,742591,671869,707230,423,645557.0
77098,"2315 BRANARD ST, HOUSTON, TX 77098",29.736683000000003,-95.414896,2730,4099,578910,504555,531110,-4009,433490.0
77098,"2814 FERNDALE ST, HOUSTON, TX 77098",29.740684,-95.42206800000001,3900,3336,1400306,828981,1120245,30593,796832.0
77098,"3202 VIRGINIA ST, HOUSTON, TX 77098",29.736444,-95.421027,1744,7971,711414,636885,677537,125,611313.0
77098,"2011 MILFORD ST, HOUSTON, TX 77098",29.728569,-95.40711999999999,3677,8999,1328396,1092513,1241492,13030,1511988.0
77098,"1939 NORFOLK ST, HOUSTON, TX 77098",29.732445000000002,-95.407965,1540,1750,437014,355799,386738,-2052,358584.0
77098,"3401 KIRBY DR, HOUSTON, TX 77098",29.734984999999998,-95.418542,1258,,264895,220746,245273,7486,258064.0
77098,"2617 GREENBRIAR DR, HOUSTON, TX 77098",29.742388000000002,-95.41296,1515,5001,566311,507543,534256,-3922,415000.0
77098,"2119 MILFORD ST, HOUSTON, TX 77098",29.728536,-95.409101,2030,6342,723558,633975,689103,5869,609849.0
77098,"1916 HAWTHORNE ST, HOUSTON, TX 77098",29.742034999999998,-95.407294,1377,5850,608722,550748,579735,8740,466800.0
77098,"2910 FERNDALE ST, HOUSTON, TX 77098",29.739929999999998,-95.422066,4592,3711,1816374,1547282,1681828,38496,1692952.0
77098,"2806 GREENBRIAR DR, HOUSTON, TX 77098",29.74042,-95.413251,4032,5001,787545,587205,690829,-15717,450000.0
77098,"1932 NORFOLK ST, HOUSTON, TX 77098",29.732721999999995,-95.407585,3051,4748,794527,718857,756692,-5122,784728.0
77098,"2137 HAROLD ST, HOUSTON, TX 77098",29.740513,-95.412313,3576,2962,802726,726276,764501,-4445,775000.0
77098,"2021 SOUTH BLVD, HOUSTON, TX 77098",29.726308000000003,-95.407983,4555,8999,1915108,1700330,1789821,262324,1901210.0
77098,"2833 SACKETT ST, HOUSTON, TX 77098",29.740051,-95.422622,2023,3602,499278,451728,475503,-467,417089.0
77098,"1932 MILFORD ST, HOUSTON, TX 77098",29.728859000000003,-95.406099,2910,8037,1053692,953340,1003516,-9074,1008115.0
77098,"1818 W MAIN ST, HOUSTON, TX 77098",29.736147999999996,-95.405415,2730,6251,552762,500118,526440,-2670,504900.0
77098,"1720 W MAIN ST, HOUSTON, TX 77098",29.736184,-95.402467,1717,15624,688658,582229,626053,-24023,532418.0
77098,"3780 LAKE ST, HOUSTON, TX 77098",29.733105,-95.420034,1920,,386147,346076,364290,4073,322094.0
77098,"3610 LAKE ST, HOUSTON, TX 77098",29.733921999999996,-95.420038,1920,,382514,346084,364299,2594,322094.0
77098,"1723 W MAIN ST, HOUSTON, TX 77098",29.735909999999997,-95.402517,1461,6250,535329,479776,505027,4764,496781.0
77098,"2218 BRANARD ST, HOUSTON, TX 77098",29.736982,-95.41320999999999,1082,5502,581405,510767,543369,-5084,421211.0
77098,"2250 W MAIN ST, HOUSTON, TX 77098",29.736427000000003,-95.416342,1450,5201,562176,508636,535406,3182,488500.0
77098,"1727 WESTHEIMER RD, HOUSTON, TX 77098",29.742621000000003,-95.40337199999999,2934,6399,703345,624465,657332,-11776,559831.0
77098,"2025 SOUTH BLVD, HOUSTON, TX 77098",29.726311,-95.407768,4202,8999,1531278,1357926,1444602,1537,1697251.0
77098,"1813 W MAIN ST, HOUSTON, TX 77098",29.735878999999997,-95.405137,2400,6250,561035,496917,534319,-4628,499000.0
77098,"2622 NEWMAN ST, HOUSTON, TX 77098",29.740646999999996,-95.414049,1783,5001,630210,570190,600200,-12102,646012.0
