zip,address,lat,lng,house area,lot area,high,low,estimate,month value change,property tax
77009,"202 COSMOS ST, HOUSTON, TX 77009",29.78793,-95.36767900000001,1809,6499,331968,292009,307378,-17011,210383.0
77009,"3903 CALENDAR ST, HOUSTON, TX 77009",29.793978999999997,-95.367846,960,5001,293974,247700,272198,-2808,190000.0
77009,"1108 JAMES ST, HOUSTON, TX 77009",29.778591,-95.358171,1372,5001,315803,253770,281967,13838,147933.0
77009,"1118 W COTTAGE ST, HOUSTON, TX 77009",29.792111,-95.38637299999999,2031,5000,597544,516061,543222,9757,406666.0
77009,"709 WENDEL ST, HOUSTON, TX 77009",29.782356,-95.379389,2068,5001,588051,502516,534592,-25660,501500.0
77009,"302 ARCHER ST, HOUSTON, TX 77009",29.793160999999998,-95.373592,1204,5001,397144,333451,374664,8625,323716.0
77009,"911 WOODLAND ST, HOUSTON, TX 77009",29.786114,-95.38226999999999,1232,5001,538814,487498,513156,7855,413531.0
77009,"2609 HARDY ST, HOUSTON, TX 77009",29.784871999999996,-95.351943,2880,,447052,248712,314825,-2811,
77009,"2714 FLORENCE ST, HOUSTON, TX 77009",29.783219,-95.374951,1200,5998,516889,457816,492275,2652,433530.0
77009,"409 PASCHALL ST, HOUSTON, TX 77009",29.777966999999997,-95.364423,1998,3598,570460,404686,487573,13952,114989.0
77009,"3611 MOORE ST, HOUSTON, TX 77009",29.793251,-95.360095,852,5502,238220,178165,200185,7380,83975.0
77009,"2504 WATSON ST, HOUSTON, TX 77009",29.781623,-95.380542,1750,4925,521282,471636,496459,-3492,425000.0
77009,"1140 W GARDNER ST, HOUSTON, TX 77009",29.795533000000002,-95.387664,1032,5000,424837,384377,404607,4869,359211.0
77009,"1136 HAMMOCK ST, HOUSTON, TX 77009",29.785964,-95.359835,1230,5700,256419,213683,237425,9129,136893.0
77009,"2204 MCKEE ST, HOUSTON, TX 77009",29.781473,-95.35204300000001,960,5001,202927,166893,189651,412,134592.0
77009,"4208 SIEGEL ST, HOUSTON, TX 77009",29.798259,-95.366423,1260,5502,274052,218272,242524,-5941,132668.0
77009,"1020 E 16TH ST, HOUSTON, TX 77009",29.799702000000003,-95.38509499999999,1396,4791,461185,394103,419259,3708,356611.0
77009,"110 PAYNE ST, HOUSTON, TX 77009",29.78432,-95.371606,1200,5101,460151,333504,422157,14505,330600.0
77009,"709 ENID ST, HOUSTON, TX 77009",29.79771,-95.375658,2200,5000,545064,488500,514211,16237,510000.0
77009,"939 BAYLAND AVE, HOUSTON, TX 77009",29.786827000000002,-95.383763,1248,5001,520761,461246,495963,3160,389786.0
77009,"4307 GANO ST, HOUSTON, TX 77009",29.799276000000003,-95.355402,1394,5001,266467,204445,229713,-1045,121586.0
77009,"3422 BEAUCHAMP ST, HOUSTON, TX 77009",29.789043,-95.373997,3372,2522,768987,695751,732369,2223,640000.0
77009,"632 MERRILL ST, HOUSTON, TX 77009",29.788867,-95.378242,1068,4051,517070,394376,438195,26959,310000.0
77009,"4308 EDISON ST, HOUSTON, TX 77009",29.799179,-95.362753,764,5500,223961,190781,207371,-5348,131404.0
