zip,address,lat,lng,house area,lot area,high,low,estimate,month value change,property tax
77064,"10319 HONDO HILL RD, HOUSTON, TX 77064",29.905613,-95.573522,2512,8280,271493,245637,258565,-3100,261833.0
77064,"9322 CHOLLA WALK LN, HOUSTON, TX 77064",29.907490999999997,-95.541103,1447,4835,171904,144845,159170,2030,140265.0
77064,"112 WATERCRESS CIR, JERSEY VILLAGE, TX 77064",29.902169,-95.580262,2737,10123,352114,318580,335347,-3811,326452.0
77064,"8330 BLACKSMITH DR, HOUSTON, TX 77064",29.903451,-95.50362,1346,12297,141813,121745,133786,2460,119768.0
77064,"8402 CHURCH LIGHT LN, HOUSTON, TX 77064",29.904311,-95.509689,1370,6499,151046,136660,143853,1102,115028.0
77064,"8007 BOVA RD, HOUSTON, TX 77064",29.904551,-95.518939,1404,5998,153066,131406,144402,1239,114095.0
77064,"9510 CABIN CREEK DR, HOUSTON, TX 77064",29.910372,-95.564578,1376,4517,160864,144012,153204,3213,126000.0
77064,"10043 SAND PASS LN, HOUSTON, TX 77064",29.913902,-95.567875,1420,7588,171021,153104,162877,175,141165.0
77064,"9318 WILLOW CROSSING DR, HOUSTON, TX 77064",29.919401,-95.56345,3137,8276,289760,262164,275962,239,263016.0
77064,"10006 LAZY MEADOWS DR, HOUSTON, TX 77064",29.920042,-95.571648,2376,7662,241132,192052,213391,4147,194777.0
77064,"10342 N LAUREL BRANCH DR, HOUSTON, TX 77064",29.922596000000002,-95.564382,2207,22363,272180,246258,259219,3646,241672.0
77064,"8907 WESTWILLOW DR, HOUSTON, TX 77064",29.898197999999997,-95.55165600000001,2002,7593,216177,193744,203941,-717,188663.0
77064,"8415 CARRIAGE CREEK DR, HOUSTON, TX 77064",29.904001,-95.510849,1878,6300,173168,155027,164922,945,142721.0
77064,"9322 SKIPPING STONE LN, HOUSTON, TX 77064",29.903236,-95.561309,3289,7610,333434,298832,314560,-5740,318902.0
77064,"8627 RIVERCROSS RD, HOUSTON, TX 77064",29.905603000000003,-95.521684,1488,5998,146798,127410,138489,-2167,132979.0
77064,"8903 BENT SPUR LN, HOUSTON, TX 77064",29.902272999999997,-95.5772,2952,9250,293837,263345,277205,-45,265294.0
77064,"9923 BURNTFORK ST, HOUSTON, TX 77064",29.917516,-95.570702,1850,6300,197045,178279,187662,34,163573.0
77064,"8903 SKIPPING STONE CT, HOUSTON, TX 77064",29.903055,-95.561286,3252,17028,340979,299552,318672,1209,262745.0
77064,"10306 MINTURN LN, HOUSTON, TX 77064",29.900602000000003,-95.57315600000001,2560,7802,263507,229349,243988,3019,205282.0
77064,"9110 BENT SPUR LN, HOUSTON, TX 77064",29.905558000000003,-95.576904,3062,8050,294680,266616,280648,-202,273223.0
77064,"10503 TABLEROCK DR, HOUSTON, TX 77064",29.918313,-95.574921,2316,9837,233731,209476,220501,1132,187851.0
77064,"8718 GREENFIELD LN, HOUSTON, TX 77064",29.907177,-95.528276,1216,,161358,99701,131185,-3840,9845.0
77064,"7611 LEATHER MARKET ST, HOUSTON, TX 77064",29.901864,-95.50745699999999,1488,6612,139965,121303,133300,2218,129442.0
77064,"9123 BEARCOVE CIR, HOUSTON, TX 77064",29.896805999999998,-95.555747,2280,9078,236854,209785,225575,-580,216842.0
77064,"9318 KAY LN, HOUSTON, TX 77064",29.907702,-95.53129200000001,1660,81719,358019,304979,331499,8664,270344.0
77064,"9623 GREEN VALLEY LN, HOUSTON, TX 77064",29.912121999999997,-95.56058900000001,3025,12283,294013,266011,280012,-2502,267671.0
77064,"10206 BAYOU TRAIL LN, HOUSTON, TX 77064",29.919277,-95.580872,2875,7487,275796,249530,262663,-890,233410.0
77064,"8338 PEBBLEDOWNE DR, HOUSTON, TX 77064",29.902648,-95.506141,1110,8451,126315,105065,118051,1056,116731.0
77064,"10019 SABLE MEADOW CT, HOUSTON, TX 77064",29.922169,-95.573481,1842,5662,196147,177467,186807,-434,182718.0
77064,"10014 CEDAREDGE DR, HOUSTON, TX 77064",29.917826,-95.56469399999999,2711,5994,224316,200816,213634,2094,208823.0
77064,"10010 SAND PASS LN, HOUSTON, TX 77064",29.914740999999996,-95.568441,1280,6499,161747,146343,154045,2793,130239.0
77064,"7619 LEATHER MARKET ST, HOUSTON, TX 77064",29.901853000000003,-95.50766,1632,6612,145377,120715,129801,1208,131116.0
77064,"10518 LADYBUG DR, HOUSTON, TX 77064",29.923652,-95.575776,1772,8024,183258,165804,174531,-2406,143898.0
77064,"9122 SANDTOWN LN, HOUSTON, TX 77064",29.904389000000002,-95.563973,2501,6860,236454,213934,225194,-1083,206386.0
77064,"10115 AUTUMN WAY CT, HOUSTON, TX 77064",29.912815000000002,-95.562448,2104,7087,215546,188859,205282,-402,207679.0
77064,"8319 DAYCOACH LN, HOUSTON, TX 77064",29.902023,-95.51167,1488,6599,149768,135504,142636,2050,123396.0
77064,"10111 SANDS TRAIL CT, HOUSTON, TX 77064",29.910846999999997,-95.570696,1869,12950,215898,195336,205617,-1124,177900.0
77064,"10043 ASH FORK DR, HOUSTON, TX 77064",29.911301,-95.568079,1292,7200,159576,131240,149136,6259,115000.0
77064,"10906 BROKEN SKY DR, HOUSTON, TX 77064",29.925776000000003,-95.56893000000001,2392,10790,211407,191273,201340,845,160173.0
77064,"7614 ROUND BANK DR, HOUSTON, TX 77064",29.907217,-95.51004499999999,1878,6294,174002,152459,165716,914,145986.0
77064,"8911 RED CLOUD RD, HOUSTON, TX 77064",29.902411999999998,-95.576265,2725,8638,269521,243853,256687,-2442,229529.0
77064,"9702 1/2 FAIRBANKS N HOUSTON RD, HOUSTON, TX 77064",29.920457,-95.524833,1992,17999,200355,159916,183812,3720,70000.0
77064,"10326 SABLE TRAIL LN, HOUSTON, TX 77064",29.921714,-95.564071,2806,7240,254240,222762,242133,-3414,230266.0
77064,"10206 WAYWARD WIND LN, HOUSTON, TX 77064",29.917607,-95.57260699999999,1778,8480,193134,174740,183937,57,169300.0
77064,"8811 BALLINGER DR, HOUSTON, TX 77064",29.900229,-95.569559,2537,10755,316179,286067,301123,1588,292513.0
77064,"9206 DAISY COVE LN, HOUSTON, TX 77064",29.906383,-95.544732,1755,5336,192425,174099,183262,219,161611.0
77064,"8931 BALLINGER DR, HOUSTON, TX 77064",29.902083,-95.569902,2737,8024,297094,268800,282947,2561,266605.0
77064,"9727 PALACIOS CT, HOUSTON, TX 77064",29.899371000000002,-95.562149,4123,12223,386225,349441,367833,-2355,333427.0
77064,"10519 SADDLEHORN TRL, HOUSTON, TX 77064",29.916707000000002,-95.576065,1168,6299,161084,145742,153413,3658,133805.0
77064,"10014 PROSPECT HILL DR, HOUSTON, TX 77064",29.916027000000003,-95.567488,1248,7074,153144,124784,141800,2191,99000.0
77064,"8618 PARMER CT, HOUSTON, TX 77064",29.897249,-95.559506,2497,10288,297553,264183,278087,-5002,249000.0
77064,"10302 AUTUMN MEADOW LN, HOUSTON, TX 77064",29.921699,-95.57897700000001,1808,6900,182156,164808,173482,-1767,133500.0
