zip,address,lat,lng,house area,lot area,high,low,estimate,month value change,property tax
77005,"6445 BELMONT ST, HOUSTON, TX 77005",29.712025,-95.424425,6507,10000,2404987,1915476,2128307,-28735,2072000.0
77005,"3002 PLUMB ST, HOUSTON, TX 77005",29.719587,-95.42476500000001,3783,5227,1449121,1311109,1380115,-1583,1459700.0
77005,"2215 ROBINHOOD ST, HOUSTON, TX 77005",29.72135,-95.41063299999999,4986,6420,1974525,1713738,1862759,-34697,1630000.0
77005,"4028 ARNOLD ST, HOUSTON, TX 77005",29.719624,-95.441737,4278,6615,1162259,1051567,1106913,4631,1336000.0
77005,"4016 RICE BLVD, HOUSTON, TX 77005",29.716817,-95.442066,4358,6886,1180742,1068290,1124516,-1066,1295195.0
77005,"3131 LAFAYETTE ST, HOUSTON, TX 77005",29.718603,-95.42665500000001,2735,5000,1017339,850866,924854,2587,689974.0
77005,"3708 ARNOLD ST, HOUSTON, TX 77005",29.720449,-95.43413699999999,4607,6251,1504684,1347050,1433032,-3325,1551600.0
77005,"3108 WROXTON RD, HOUSTON, TX 77005",29.724709999999998,-95.426405,2940,6481,999405,879106,925375,-12894,784000.0
77005,"6106 ANNAPOLIS ST, HOUSTON, TX 77005",29.717162,-95.421006,3598,5001,1192186,1039062,1093749,-15228,1120000.0
77005,"2619 ROBINHOOD ST, HOUSTON, TX 77005",29.720982,-95.419648,4169,6400,1533573,1320577,1419975,5073,1551852.0
77005,"4030 CHILDRESS ST, HOUSTON, TX 77005",29.727047,-95.441969,2260,3872,547917,495735,521826,-2705,501102.0
77005,"3738 NOTTINGHAM ST, HOUSTON, TX 77005",29.722144,-95.43508,5631,7810,2159963,1524680,1815095,-11485,1810817.0
77005,"2330 SUNSET BLVD, HOUSTON, TX 77005",29.723107000000002,-95.413452,3336,9583,1143217,1024582,1078507,-1961,1200000.0
77005,"3820 BYRON ST, HOUSTON, TX 77005",29.712413,-95.43820799999999,2750,4350,922348,834506,878427,-6523,823000.0
77005,"4117 COLERIDGE ST, HOUSTON, TX 77005",29.718306,-95.443376,3976,7200,1141399,1032695,1087047,-2559,1208000.0
77005,"3934 UNIVERSITY BLVD, HOUSTON, TX 77005",29.714669,-95.440071,3108,5415,944670,637460,768024,21991,486587.0
77005,"2132 TANGLEY ST, HOUSTON, TX 77005",29.721343,-95.409786,2108,6003,957592,831118,903389,81,1043029.0
77005,"5902 BUFFALO SPEEDWAY, HOUSTON, TX 77005",29.71885,-95.42783299999999,2706,8250,965617,864457,919635,-17230,791287.0
77005,"5915 FORDHAM ST, HOUSTON, TX 77005",29.719198,-95.419948,3595,5000,1523456,1280781,1348191,23480,1374900.0
77005,"4123 TENNYSON ST, HOUSTON, TX 77005",29.717484000000002,-95.443502,3044,6900,994234,880608,946890,-15655,1080221.0
77005,"3401 GEORGETOWN ST, HOUSTON, TX 77005",29.717833000000002,-95.429967,2231,7501,959618,849947,913922,-9484,887491.0
77005,"2821 ROBINHOOD ST, HOUSTON, TX 77005",29.720819,-95.422329,3085,6195,1092877,988793,1040835,-4722,900000.0
77005,"6510 BELMONT ST, HOUSTON, TX 77005",29.710853999999998,-95.424705,4946,10001,1623010,1468438,1545724,19773,1884400.0
77005,"3925 UNIVERSITY BLVD, HOUSTON, TX 77005",29.714396999999998,-95.439899,3833,5700,1122890,995770,1059330,2798,1200000.0
