zip,address,lat,lng,house area,lot area,high,low,estimate,month value change,property tax
77015,"14445 VICTORIA ST, HOUSTON, TX 77015",29.783926,-95.166566,1870,5489,172610,139657,156918,1994,57679.0
77015,"14236 LAREDO ST, HOUSTON, TX 77015",29.781344,-95.171062,1500,10498,116840,96810,111276,2831,73701.0
77015,"13371 FORCE ST, HOUSTON, TX 77015",29.787205,-95.18825600000001,1488,8102,132840,120188,126514,-731,88152.0
77015,"14737 KENNY ST, HOUSTON, TX 77015",29.770075,-95.156951,1056,5502,104862,81983,95329,5104,34033.0
77015,"14748 WALDINE ST, HOUSTON, TX 77015",29.768557,-95.156293,1598,26702,196884,144382,164070,1611,70439.0
77015,"12518 TOULOUSE ST, HOUSTON, TX 77015",29.787671999999997,-95.207188,1420,5672,138265,125097,131681,3390,99436.0
77015,"12914 SAMUEL LN, HOUSTON, TX 77015",29.761255,-95.199697,1048,7392,116728,92757,104221,1139,41777.0
77015,"1825 LEDGER LN, HOUSTON, TX 77015",29.756371,-95.214012,1756,6817,151229,136827,144028,2092,104678.0
77015,"12921 SAMUEL LN, HOUSTON, TX 77015",29.761705,-95.199735,1014,10080,98715,83031,92257,4049,30000.0
77015,"14224 ALDERSON ST, HOUSTON, TX 77015",29.788034999999997,-95.170722,812,5354,92268,73653,80937,4997,45478.0
77015,"14102 ALDERSON ST, HOUSTON, TX 77015",29.787964000000002,-95.174142,1002,5354,93896,74263,85360,4589,31869.0
77015,"14547 DUNCUM ST, HOUSTON, TX 77015",29.775816,-95.164253,1216,10999,124251,93463,109957,6887,62048.0
77015,"12480 PARKEY LN, HOUSTON, TX 77015",29.758601000000002,-95.213739,1052,7906,105623,92669,99644,1137,41180.0
77015,"12437 JANEY ST, HOUSTON, TX 77015",29.76039,-95.216604,957,6103,111411,89527,99474,1779,85151.0
77015,"1416 SHIRLEY LN, HOUSTON, TX 77015",29.764287,-95.210998,1296,8690,118582,101642,112935,8463,61200.0
77015,"14139 BONHAM ST, HOUSTON, TX 77015",29.776407,-95.171966,2022,10707,168315,144938,155847,4173,94543.0
77015,"12428 MARICOPA LN, HOUSTON, TX 77015",29.760802,-95.216998,1350,6155,154123,129572,136392,10760,82116.0
77015,"14630 ALDERSON ST, HOUSTON, TX 77015",29.788234999999997,-95.162194,672,5502,97194,72895,86780,3630,34286.0
77015,"13433 JOLIET ST, HOUSTON, TX 77015",29.783724,-95.185913,1021,7800,98492,81608,93802,2738,55000.0
77015,"14214 EAST FWY, HOUSTON, TX 77015",29.770283000000003,-95.170416,1280,22616,334785,229063,293671,8035,269028.0
77015,"13425 CORPUS CHRISTI ST, HOUSTON, TX 77015",29.782783000000002,-95.186111,640,8398,85322,76383,81259,967,48927.0
77015,"13714 VICTORIA ST, HOUSTON, TX 77015",29.783337,-95.18154100000001,872,5249,88767,66965,77866,2778,29576.0
77015,"14631 FORCE ST, HOUSTON, TX 77015",29.787736,-95.162683,816,5497,91122,71769,80639,5116,37479.0
77015,"14649 KENNY ST, HOUSTON, TX 77015",29.76998,-95.160893,,4151,186517,143839,158065,483,20675.0
77015,"1013 MAXEY RD, HOUSTON, TX 77015",29.772028000000002,-95.218222,3698,57700,257093,230414,242541,2525,160287.0
77015,"13323 PEORIA ST, HOUSTON, TX 77015",29.780841,-95.18995100000001,1182,8403,117269,89296,107586,-11856,56703.0
77015,"13129 CORPUS CHRISTI ST, HOUSTON, TX 77015",29.782627,-95.194004,1104,8403,123011,107781,117153,-1274,82765.0
77015,"14334 BONHAM ST, HOUSTON, TX 77015",29.776195,-95.16874,622,5497,83457,62058,71331,799,31401.0
77015,"12415 DIAKOVIC DR, HOUSTON, TX 77015",29.787978000000003,-95.208931,1336,6599,133343,110912,124620,-1204,66961.0
77015,"13306 CORPUS CHRISTI ST, HOUSTON, TX 77015",29.782418,-95.190943,1152,9801,109315,84695,98482,-15973,75090.0
77015,"14623 MCNAIR ST, HOUSTON, TX 77015",29.773633,-95.162532,1402,10999,133434,115811,125881,9040,78680.0
77015,"13351 ORLEANS ST, HOUSTON, TX 77015",29.781795000000002,-95.188989,873,8403,89588,78601,84517,-1575,67735.0
77015,"12447 SAINT MICHEL DR, HOUSTON, TX 77015",29.786234000000004,-95.21039499999999,1915,6966,182280,148209,170355,1260,168407.0
77015,"12373 KAYLA LN, HOUSTON, TX 77015",29.754409999999996,-95.217248,1046,6820,112447,90359,100399,2118,88773.0
