zip,address,lat,lng,house area,lot area,high,low,estimate,month value change,property tax
77002,"1434 BELL ST, HOUSTON, TX 77002",29.750782,-95.36409300000001,1777,1559,297663,269315,283489,2941,244769.0
77002,"808 CHELSEA BLVD, HOUSTON, TX 77002",29.730001,-95.388138,2646,1416,503137,407949,453277,-17397,416036.0
77002,"914 MAIN ST, HOUSTON, TX 77002",29.757172999999998,-95.365,2238,,427705,364923,392390,19011,351118.0
77002,"907 MCKEE ST, HOUSTON, TX 77002",29.7683,-95.352228,936,6225,239159,187168,207964,4602,159053.0
77002,"2017 MAIN ST, HOUSTON, TX 77002",29.749084000000003,-95.370867,1653,7501,646464,584896,615680,-16056,591000.0
77002,"3400 TRAVIS ST, HOUSTON, TX 77002",29.740977,-95.37904300000001,3456,5001,656283,536959,596621,11734,395000.0
77002,"106 PIERCE ST, HOUSTON, TX 77002",29.753773,-95.378238,2096,1451,5277958,2507030,2638979,-2691,468790.0
77002,"607 SAN JACINTO ST, HOUSTON, TX 77002",29.758644,-95.360827,893,,397750,187176,259967,-5114,
77002,"402 HADLEY ST, HOUSTON, TX 77002",29.750084,-95.377543,2719,2339,500101,452473,476287,6254,522300.0
77002,"2244 LA BRANCH ST, HOUSTON, TX 77002",29.745147999999997,-95.368089,2151,1433,322954,292196,307575,-2288,351153.0
77002,"312 MAIN ST, HOUSTON, TX 77002",29.761689,-95.361441,4200,,771833,398695,511148,-115,
77002,"132 PIERCE ST, HOUSTON, TX 77002",29.753453000000004,-95.377677,2096,1629,488750,442202,465476,-7491,476811.0
77002,"806 CHELSEA BLVD, HOUSTON, TX 77002",29.730009000000003,-95.38815100000001,2496,1599,449247,406461,427854,2034,378000.0
77002,"410 PIERCE ST, HOUSTON, TX 77002",29.752464,-95.376003,1998,3820,535525,484523,510024,-6056,443100.0
77002,"2201 AUSTIN ST, HOUSTON, TX 77002",29.745652000000003,-95.36858199999999,1992,1951,351500,318024,334762,-1210,345000.0
77002,"1300 TEXAS ST, HOUSTON, TX 77002",29.758141,-95.35983900000001,750,,392616,171276,263501,-5762,
77002,"214 MAIN ST, HOUSTON, TX 77002",29.763012,-95.360399,2060,,395918,354833,373508,17617,325000.0
77002,"2016 MAIN ST PH 6, HOUSTON, TX 77002",29.748853999999998,-95.371605,4021,,538397,487121,512759,2943,500192.0
77002,"130 PIERCE ST, HOUSTON, TX 77002",29.753458000000002,-95.377687,2096,1437,495644,448440,472042,-6214,469559.0
77002,"1438 BELL ST, HOUSTON, TX 77002",29.750765,-95.364064,1777,1834,299297,270793,285045,3644,264678.0
77002,"2203 AUSTIN ST, HOUSTON, TX 77002",29.745641,-95.36859100000001,2318,1951,366892,331950,349421,5149,354820.0
77002,"808 WINBERN ST, HOUSTON, TX 77002",29.739062,-95.380777,3096,5401,696513,569875,633194,5568,399388.0
77002,"5000 TRAVIS ST, HOUSTON, TX 77002",29.729682,-95.387704,3010,3000,727268,519477,577197,-29337,541098.0
77002,"410 HADLEY ST, HOUSTON, TX 77002",29.750021999999998,-95.377429,2208,1742,385540,348822,367181,-131,371000.0
77002,"4929 TRAVIS ST, HOUSTON, TX 77002",29.729675,-95.387336,2600,1873,481412,435564,458488,-11109,463500.0
77002,"1111 PIERCE ST, HOUSTON, TX 77002",29.748983000000003,-95.36977399999999,710,,437311,159490,257242,-17076,
77002,"1506 ROTHWELL ST, HOUSTON, TX 77002",29.769344,-95.352346,1836,5005,360555,284648,316276,3720,125150.0
77002,"1218 WEBSTER ST, HOUSTON, TX 77002",29.746569,-95.369904,832,3700,361763,249999,294116,457,184000.0
77002,"104 TRAVIS ST, HOUSTON, TX 77002",29.764145000000003,-95.360795,1131,,233022,210830,221926,-107,223000.0
77002,"810 CHELSEA BLVD, HOUSTON, TX 77002",29.729993,-95.388125,2646,1951,494341,447261,470801,-11952,445617.0
77002,"114 PIERCE ST, HOUSTON, TX 77002",29.753641,-95.378003,2029,1446,482555,436597,459576,-23421,430000.0
77002,"802 CHELSEA BLVD, HOUSTON, TX 77002",29.730024,-95.388178,1124,7514,103432,89198,94892,367,66009.0
77002,"1310 HADLEY ST, HOUSTON, TX 77002",29.745365999999997,-95.36972800000001,2440,1956,407714,365404,384636,-3779,356090.0
77002,"114 MAIN ST, HOUSTON, TX 77002",29.763134,-95.360302,2060,,395918,354833,373508,17617,325000.0
77002,"1318 HADLEY ST, HOUSTON, TX 77002",29.745193,-95.369445,2470,1510,410523,364483,383666,-5759,341800.0
77002,"110 PIERCE ST, HOUSTON, TX 77002",29.753740000000004,-95.37817,2096,2169,505403,457269,481336,634,490240.0
77002,"2240 LA BRANCH ST, HOUSTON, TX 77002",29.745178999999997,-95.368065,2151,1520,353003,319383,336193,2170,333000.0
77002,"2520 MAIN ST, HOUSTON, TX 77002",29.745420000000003,-95.374326,3089,6599,659312,525116,583462,-952,481975.0
77002,"408 HADLEY ST, HOUSTON, TX 77002",29.750038,-95.37745799999999,2917,1891,452820,409694,431257,-4565,431812.0
77002,"412 HADLEY ST, HOUSTON, TX 77002",29.750006,-95.377401,2719,2160,464243,420029,442136,604,510680.0
77002,"813 CONGRESS ST, HOUSTON, TX 77002",29.763215999999996,-95.362064,680,,367891,168827,251980,5075,
77002,"4927 TRAVIS ST, HOUSTON, TX 77002",29.729678999999997,-95.387332,2600,1873,512021,463257,487639,-10903,535732.0
77002,"2271 AUSTIN ST, HOUSTON, TX 77002",29.745254,-95.368899,2102,1859,348069,314919,331494,1623,354999.0
77002,"1121 CAPITOL ST, HOUSTON, TX 77002",29.75852,-95.361746,1301,,358376,221436,291363,1175,
77002,"2200 MAIN ST, HOUSTON, TX 77002",29.747372,-95.372776,283,,122788,106871,113693,-563,87000.0
77002,"2263 AUSTIN ST, HOUSTON, TX 77002",29.745299,-95.368863,2541,1729,398049,360139,379094,-6010,394554.0
77002,"306 MAIN ST, HOUSTON, TX 77002",29.761640999999997,-95.361478,1022,,355877,167866,223822,6660,
77002,"2267 AUSTIN ST, HOUSTON, TX 77002",29.745277,-95.368881,2102,1655,322073,285953,301003,691,350998.0
77002,"2006 HELENA ST, HOUSTON, TX 77002",29.753642,-95.377809,2655,2108,512938,464086,488512,6621,550779.0
77002,"705 MAIN ST PH 6, HOUSTON, TX 77002",29.759063,-95.362992,1457,,298330,239729,266366,9627,232171.0
77002,"217 GRAY ST, HOUSTON, TX 77002",29.752905,-95.378024,750,,515171,269119,384456,-4079,
77002,"218 TRAVIS ST, HOUSTON, TX 77002",29.76329,-95.361423,685,,365222,167602,250152,3966,
