zip,address,lat,lng,house area,lot area,high,low,estimate,month value change,property tax
77023,"5647 LAWSON ST, HOUSTON, TX 77023",29.72352,-95.316687,1178,5863,303635,218720,257318,28883,118023.0
77023,"5619 BONSRELL ST, HOUSTON, TX 77023",29.723266,-95.318248,1428,5802,258640,216698,233009,10718,128562.0
77023,"4909 PARK DR, HOUSTON, TX 77023",29.737565000000004,-95.327111,1711,7902,398169,292671,340315,-2987,148928.0
77023,"4513 RUSK ST, HOUSTON, TX 77023",29.742268,-95.331675,2233,8123,441805,391313,420767,-1706,216982.0
77023,"4440 PEASE ST, HOUSTON, TX 77023",29.735124,-95.335449,1802,5750,319874,255899,278151,-3492,188683.0
77023,"1408 PEARSON ST, HOUSTON, TX 77023",29.729513,-95.329492,625,6251,235348,195063,212025,9540,135400.0
77023,"2027 ALTA VISTA ST, HOUSTON, TX 77023",29.720422999999997,-95.30048599999999,1236,5924,189547,168089,178818,2558,116324.0
77023,"4701 RUSK ST, HOUSTON, TX 77023",29.741071999999996,-95.32789100000001,1416,9017,288020,247644,269178,3256,176899.0
77023,"5133 STONEWALL DR, HOUSTON, TX 77023",29.737206,-95.322333,1278,5820,272527,244246,257101,5799,158483.0
77023,"4747 PEASE ST, HOUSTON, TX 77023",29.733644,-95.331089,3269,5942,368244,266660,317452,-6919,157580.0
77023,"6418 COUNTRY CLUB DR, HOUSTON, TX 77023",29.727428999999997,-95.31495100000001,1535,6656,283262,233999,246315,-3518,155132.0
77023,"1566 TELEPHONE RD, HOUSTON, TX 77023",29.727081,-95.325393,1095,6251,267882,192966,227019,-1326,91737.0
77023,"7531 AZALEA ST, HOUSTON, TX 77023",29.719706,-95.29415,1782,5502,218199,185873,202036,-2993,151726.0
77023,"3534 GLENMORE DR, HOUSTON, TX 77023",29.703917999999998,-95.321975,1576,7105,151056,119472,137324,-11440,82052.0
77023,"5122 CLAREMONT ST, HOUSTON, TX 77023",29.730362,-95.325305,1576,5249,283716,249565,262700,-477,171822.0
77023,"6721 WILDWOOD WAY, HOUSTON, TX 77023",29.721378,-95.308347,2015,5750,365596,315742,332360,10825,292834.0
77023,"2048 DES JARDINES ST, HOUSTON, TX 77023",29.718858,-95.325073,840,6299,144522,104875,127896,2054,82641.0
77023,"3926 LAMAR ST, HOUSTON, TX 77023",29.742344,-95.339911,1066,5000,246591,204319,234849,-5105,158088.0
77023,"7703 ELM ST, HOUSTON, TX 77023",29.721939000000003,-95.288977,1140,5502,206127,179652,189107,2457,111727.0
77023,"5317 PEASE ST, HOUSTON, TX 77023",29.731749,-95.321304,1385,5001,237371,204403,219788,-2991,115000.0
77023,"4202 WALKER ST, HOUSTON, TX 77023",29.742521999999997,-95.33625500000001,600,6300,259988,171262,206340,-4588,
77023,"5634 MCCORMICK ST, HOUSTON, TX 77023",29.724744,-95.31681999999999,1217,5706,295328,221496,254593,25847,117396.0
77023,"5710 NEWPORT ST, HOUSTON, TX 77023",29.719631,-95.318182,1362,4800,230968,200748,215858,7471,150336.0
77023,"2250 DES JARDINES ST, HOUSTON, TX 77023",29.714340999999997,-95.32689,1445,6599,191846,159269,180987,782,114160.0
77023,"1931 ESPERANZA ST, HOUSTON, TX 77023",29.72304,-95.302196,990,9213,149147,113241,138099,-1216,101413.0
77023,"6207 PINEWAY BLVD, HOUSTON, TX 77023",29.705762,-95.32034499999999,1533,25761,211919,134708,164278,6002,80771.0
77023,"6522 COUNTRY CLUB DR, HOUSTON, TX 77023",29.726678000000003,-95.311272,1777,6930,360857,269114,305811,21340,196145.0
77023,"6447 LAWNDALE ST, HOUSTON, TX 77023",29.725655,-95.31381400000001,2805,7680,326454,273516,294103,810,182833.0
77023,"2234 COLLIER ST, HOUSTON, TX 77023",29.715314000000003,-95.328236,1580,5293,204560,158899,182643,-1920,123430.0
77023,"4517 RUSK ST, HOUSTON, TX 77023",29.742244,-95.3316,1272,8002,292041,251479,270408,4032,175400.0
77023,"907 DELMAR ST, HOUSTON, TX 77023",29.737674,-95.324414,1291,5641,279417,252805,266111,6628,166579.0
77023,"6535 COUNTRY CLUB DR, HOUSTON, TX 77023",29.726831,-95.310744,2829,12632,414786,352177,391308,-8453,367170.0
77023,"1422 LAWSON ST, HOUSTON, TX 77023",29.728871999999996,-95.33015400000001,1215,6251,243367,196402,213480,6219,142608.0
77023,"7443 MAGNOLIA ST, HOUSTON, TX 77023",29.718982,-95.29601600000001,1262,6003,190652,158579,178179,-3106,112439.0
77023,"1118 PEARSON ST, HOUSTON, TX 77023",29.731609000000002,-95.33060400000001,993,5201,262617,216840,240933,5792,152824.0
77023,"1114 ELLISTON ST, HOUSTON, TX 77023",29.731956,-95.329883,1217,5000,283416,251332,267374,396,173000.0
77023,"1441 GODWIN ST, HOUSTON, TX 77023",29.72833,-95.33043,1508,6251,272098,225939,242945,15784,146015.0
77023,"7425 ERATH ST, HOUSTON, TX 77023",29.72118,-95.296456,1192,7740,217723,169554,192675,-5067,181227.0
77023,"7528 ERATH ST, HOUSTON, TX 77023",29.720917,-95.29422,1064,5502,199217,175237,184460,7610,109960.0
77023,"2902 PITZLIN ST, HOUSTON, TX 77023",29.709609000000004,-95.324834,1440,8999,170783,125916,144731,-2717,64624.0
77023,"5415 LEELAND ST, HOUSTON, TX 77023",29.731846,-95.31914499999999,1097,5001,250794,203917,234387,-2756,137335.0
77023,"7 DUMBLE ST, HOUSTON, TX 77023",29.72178,-95.31841,1104,10298,314325,256117,291042,2383,244440.0
77023,"7523 SATSUMA ST, HOUSTON, TX 77023",29.720423999999998,-95.294349,1328,5500,204624,176464,187728,-6591,102824.0
77023,"4730 CLAY ST, HOUSTON, TX 77023",29.736327000000003,-95.329951,1460,6177,273617,242641,258129,5387,170000.0
77023,"6718 MEADOWLAWN ST, HOUSTON, TX 77023",29.722551,-95.307956,1346,5480,353090,276052,320991,42070,246766.0
77023,"3606 ERBY ST, HOUSTON, TX 77023",29.705168,-95.318709,1257,6321,131404,98257,118382,-2809,63878.0
77023,"2340 CUMBERLAND ST, HOUSTON, TX 77023",29.716776,-95.320494,961,5001,197870,160095,179882,684,165354.0
77023,"6731 WILDWOOD WAY, HOUSTON, TX 77023",29.72125,-95.30794,1066,5750,323236,262084,291204,17119,204075.0
77023,"5209 CLAREMONT ST, HOUSTON, TX 77023",29.730325,-95.324244,2328,5301,312816,261628,284378,-4268,152468.0
77023,"6143 PINEWAY BLVD, HOUSTON, TX 77023",29.704691999999998,-95.322645,1188,12179,151891,136128,143293,840,88497.0
77023,"6719 PARK LN, HOUSTON, TX 77023",29.720464,-95.30844499999999,1201,5750,330395,270864,297653,32240,185650.0
77023,"5727 POLK ST, HOUSTON, TX 77023",29.732767,-95.314347,,,310259,180322,265179,1696,
77023,"7567 SATSUMA ST, HOUSTON, TX 77023",29.720436,-95.293358,1050,5001,194273,160717,176612,5908,96982.0
77023,"7551 ELM ST, HOUSTON, TX 77023",29.721969,-95.293734,1788,6181,220208,189623,203896,-1930,164480.0
77023,"6670 SYLVAN RD, HOUSTON, TX 77023",29.717387,-95.310965,1645,5649,370486,321088,352844,21379,306762.0
77023,"2944 BLACK ST, HOUSTON, TX 77023",29.707760999999998,-95.32221700000001,1302,15002,198854,130912,165712,3800,63000.0
77023,"1701 ESPERANZA ST, HOUSTON, TX 77023",29.725856,-95.302947,1963,7719,279022,224699,246922,260,183192.0
77023,"5503 MCCORMICK ST, HOUSTON, TX 77023",29.725884000000004,-95.31965,1010,5001,237795,199578,212317,1785,111831.0
77023,"1520 TELEPHONE RD, HOUSTON, TX 77023",29.728476,-95.326111,2628,6250,346908,267788,304305,-5431,149753.0
77023,"1134 FAIR OAKS RD, HOUSTON, TX 77023",29.726981,-95.315875,1719,7200,355638,318381,338703,8890,314086.0
77023,"7518 SATSUMA ST, HOUSTON, TX 77023",29.720148,-95.294436,990,5375,148975,106787,131836,815,97008.0
77023,"4409 HARBY ST, HOUSTON, TX 77023",29.733235999999998,-95.336676,568,5750,204336,164604,189200,-16015,140004.0
77023,"4964 LEELAND ST, HOUSTON, TX 77023",29.733913,-95.326941,1658,5001,308084,273533,287929,350,201464.0
77023,"6449 COUNTRY CLUB DR, HOUSTON, TX 77023",29.727365000000002,-95.31398399999999,1335,6821,273219,228511,248381,-1138,173637.0
77023,"1542 LAWSON ST, HOUSTON, TX 77023",29.727124,-95.327437,1533,6251,327415,220066,268373,10029,129048.0
77023,"4203 WALKER ST, HOUSTON, TX 77023",29.742784999999998,-95.336162,1250,6298,291784,248152,272695,1192,233959.0
77023,"5301 CLAREMONT ST, HOUSTON, TX 77023",29.729810999999998,-95.32255500000001,1393,6360,263590,238486,251038,-1526,182448.0
77023,"4221 MCKINNEY ST, HOUSTON, TX 77023",29.742123,-95.33646,3108,8176,485575,430605,458090,2854,346702.0
77023,"6605 FAIRFIELD ST, HOUSTON, TX 77023",29.723233,-95.311576,1914,5750,356179,269379,299310,15047,200000.0
77023,"5212 PEASE ST, HOUSTON, TX 77023",29.7321,-95.323411,1344,3999,267809,240018,252650,-1116,141050.0
77023,"4207 WOODLEIGH ST, HOUSTON, TX 77023",29.741069,-95.337177,2880,5001,424631,370092,389570,3116,305334.0
77023,"4007 WALKER ST, HOUSTON, TX 77023",29.743421,-95.338199,1969,5000,409974,333343,383153,-9206,370000.0
